year,scenario,industry,so2,nox,pm,so2rr,noxrr,pmrr
2030,CCUS2-NET2-MFRT,others,4391609.021,5152951.122,5209357.677,0.735641191,0.558818814,0.92195
2035,CCUS2-NET2-MFRT,others,3397101.446,3731233.711,4766125.359,0.569050601,0.40463873,0.908794665
2040,CCUS2-NET2-MFRT,others,2959211.541,2530748.176,4231935.473,0.495699388,0.274450439,0.806936472
2050,CCUS2-NET2-MFRT,others,2093324.348,1816196.021,2972907.538,0.350654079,0.196959855,0.566867698
2060,CCUS2-NET2-MFRT,others,870685.7058,784328.6148,1213449.484,0.145849111,0.085057587,0.231377971
2014,CCUS0-MFRT,power,4502140,5894229,1121010,2.459556866,1.407889581,1.170289886
2020,CCUS0-MFRT,power,1830992.826,5350333.063,1081018.771,1.000286747,1.277975147,1.128540632
2025,CCUS0-MFRT,power,1707979.803,4472195.04,1063195.747,0.933083701,1.068223987,1.109934104
2030,CCUS0-MFRT,power,1651957.585,3184052.868,1028322.627,0.902478293,0.76053965,1.073527952
2035,CCUS0-MFRT,power,1500721.407,2292212.498,934180.0257,0.819856699,0.54751556,0.975246818
2040,CCUS0-MFRT,power,1305837.787,1519654.002,812867.4459,0.713390142,0.362983019,0.848601306
2050,CCUS0-MFRT,power,782542.8112,910675.374,487122.9664,0.427509705,0.217522999,0.508537016
2060,CCUS0-MFRT,power,142915.0274,166315.7519,88962.79043,0.078075679,0.039726012,0.092873617
2014,CCUS0-MFRT,others,13464688,9538998,8116119,2.255478361,1.034469652,1.54756434
2020,CCUS0-MFRT,others,5476006.328,8658777.32,6635580.619,0.917289266,0.939012919,0.965258425
2025,CCUS0-MFRT,others,5108107.514,7237631.85,6158034.772,0.855662305,0.78489486,0.9421
2030,CCUS0-MFRT,others,4391609.021,5152951.122,5209357.677,0.735641191,0.558818815,0.92195
2035,CCUS0-MFRT,others,3374906.01,3709630.29,4733746.558,0.56533263,0.402295918,0.902620744
2040,CCUS0-MFRT,others,2877899.891,2459350.746,4116740.949,0.482078822,0.266707647,0.784971424
2050,CCUS0-MFRT,others,1721116.778,1473802.693,2455645.905,0.288305355,0.159828544,0.468237348
2060,CCUS0-MFRT,others,312623.6499,269159.1428,442864.0174,0.052367784,0.02918933,0.084444371
